Ability: Transwarp|Transwarp (ability)
Ability: Tachyon Beam|Tachyon Beam (ability)
Ability: Tractor Beam|Tractor Beam (ability)
Ability: Torpedo: High Yield|Torpedo: High Yield (ability)
Ability: Emergency Power to Shields|Emergency Power to Shields (ability)
Ability: Beams: Fire at Will|Beams: Fire at Will (ability)
Ability: Brace for Impact|Brace for Impact (ability)
Ability: Evasive Maneuvers|Evasive Maneuvers (ability)
Ability: Ramming Speed|Ramming Speed (ability)
Ability: Rotate Shield Frequency|Rotate Shield Frequency (ability)
Ability: EPS Power Transfer|EPS Power Transfer (ability)
Ability: Reroute Power to Shields|Reroute Power to Shields (ability)
Ability: Cover Shield|Cover Shield (ability)
Ability: Support Drone Fabrication|Support Drone Fabrication (ability)
Ability: Battle Strategies|Battle Strategies (ability)
Ability: Draw Fire|Draw Fire (ability)
Ability: Sweeping Strikes|Sweeping Strikes (ability)
Ability: Photon Grenade|Photon Grenade (ability)
Ability: Smoke Grenade|Smoke Grenade (ability)
Ability: Plasma Grenade|Plasma Grenade (ability)
Ability: Stun Grenade|Stun Grenade (ability)
Ability: Suppressing Fire|Suppressing Fire (ability)
Ability: Ambush|Ambush (ability)
Ability: Stealth Module|Stealth Module (ability)
Ability: Sensor Scan|Sensor Scan (ability)
Ability: Tricorder Scan|Tricorder Scan (ability)
Ability: Nadion Inversion|Nadion Inversion (ability)
Ability: Transfer Shield Strength|Transfer Shield Strength (ability)
Ability: Target Optics|Target Optics (ability)
Ability: Lunge|Lunge (ability)
Ability: Overwatch|Overwatch (ability)
Ability: Fire on my Mark (Ground)|Fire on my Mark (ground ability)
Ability: Motion Accelerator|Motion Accelerator (ability)
Ability: Go Down Fighting|Go Down Fighting (ability)
Ability: Jam Targeting Sensors|Jam Targeting Sensors (ability)
Ability: Hazard Emitters|Hazard Emitters (ability)
Ability: Science Team|Science Team (ability)
Ability: Attack Pattern Alpha|Attack Pattern Alpha (ability)
Ability: Tachyon Harmonic|Tachyon Harmonic (ability)
Ability: Electro-Gravitic Field|Electro-Gravitic Field (ability)
Ability: Medical Tricorder|Medical Tricorder (ability)
Ability: Sonic Pulse|Sonic Pulse (ability)
Ability: Stasis Field|Stasis Field (ability)
Ability: Hyperonic Radiation|Hyperonic Radiation (ability)
Ability: Hypospray - Melorazine|Hypospray - Melorazine (ability)
