Trait: Aggressive/doff|Aggressive (duty officer trait)
Trait: Cold Blooded/doff|Cold Blooded (duty officer trait)
Trait: Congenial/doff|Congenial (duty officer trait)
Trait: Cunning/doff|Cunning (duty officer trait)
Trait: Dominion Fugitive/doff|Dominion Fugitive (duty officer trait)
Trait: Efficient/doff|Efficient (duty officer trait)
Trait: Eidetic Memory/doff|Eidetic Memory (duty officer trait)
Trait: Emotional/doff|Emotional (duty officer trait)
Trait: Founders of the Federation/doff|Founders of the Federation (duty officer trait)
Trait: Free-Thinker/doff|Free-Thinker (duty officer trait)
Trait: Honorable/doff|Honorable (duty officer trait)
Trait: Logical/doff|Logical (duty officer trait)
Trait: Peaceful/doff|Peaceful (duty officer trait)
Trait: Perfectionist/doff|Perfectionist (duty officer trait)
Trait: Photonic/doff|Photonic (duty officer trait)
Trait: Resilient/doff|Resilient (duty officer trait)
Trait: Resolve/doff|Resolve (duty officer trait)
Trait: Seductive/doff|Seductive (duty officer trait)
Trait: Shroud/doff|Shroud (duty officer trait)
Trait: Spiritual/doff|Spiritual (duty officer trait)
Trait: Stubborn/doff|Stubborn (duty officer trait)
Trait: Tactful/doff|Tactful (duty officer trait)
Trait: Teamwork/doff|Teamwork (duty officer trait)
Trait: Telekinesis/doff|Telekinesis (duty officer trait)
Trait: Telepathic/doff|Telepathic (duty officer trait)
Trait: Unruly/doff|Unruly (duty officer trait)
Trait: Unscrupulous/doff|Unscrupulous (duty officer trait)
