Trait: Delta Recruit|Delta Recruit (trait)
Trait: Temporal Agent|Temporal Agent (ground trait)
Trait: Gamma Recruit|Gamma Recruit (trait)
Trait: Klingon Recruit|Klingon Recruit (trait)
Trait: Telekinetic Shove/boff|Telekinetic Shove (ground trait)
Trait: Bite/boff|Bite (bridge officer trait)
Trait: Rapture/boff|Rapture (bridge officer trait)
Trait: Nanomolecular Architect|Nanomolecular Architect (ground trait)
Trait: Corrosive Blood/boff|Corrosive Blood (bridge officer trait)
Trait: Defiance|Defiance (ground trait)
Trait: Mental Acuity|Mental Acuity (ground trait)
Trait: Borg Nanites|Borg Nanites (ground trait)
Trait: Lethality|Lethality (ground trait)
Trait: Penetrating Rounds|Penetrating Rounds (ground trait)
Trait: Pig-Headed|Pig-Headed (ground trait)
Trait: Stasis Specialist/boff|Stasis Specialist (bridge officer trait)
Trait: Energized Nanites|Energized Nanites (ground trait)
Trait: Telepathic/boff|Telepathic (bridge officer trait)
Trait: Pounce|Pounce (ground trait)
Trait: Personal Energy Amplifier|Personal Energy Amplifier (ground trait)
Trait: Lucky|Lucky (ground trait)
Trait: Vicious/boff|Vicious (bridge officer trait)
Trait: Resilient|Resilient (ground trait)
Trait: Seduce/boff|Seduce (bridge officer trait)
Trait: Nerve Pinch|Nerve Pinch (ground trait)
Trait: Tactical Vigilance|Tactical Vigilance (ground trait)
Trait: Circulatory Redundancies|Circulatory Redundancies (ground trait)
Trait: Covert|Covert (ground trait)
Trait: Acute Senses|Acute Senses (ground trait)
Trait: Dumb Luck/boff|Dumb Luck (bridge officer trait)
Trait: Natural Immunities|Natural Immunities (ground trait)
Trait: Disabling Strikes|Disabling Strikes (ground trait)
Trait: Lucky/boff|Lucky (bridge officer trait)
Trait: Vanquish|Vanquish (ground trait)
Trait: Sturdy/boff|Sturdy (bridge officer trait)
Trait: Spiritual|Spiritual (ground trait)
Trait: Cold Dwelling|Cold Dwelling (ground trait)
Trait: Stubborn/boff|Stubborn (bridge officer trait)
Trait: Reptilian Strength/boff|Reptilian Strength (bridge officer trait)
Trait: Sniper|Sniper (ground trait)
Trait: Plasma Weapon Specialist/boff|Plasma Weapon Specialist (bridge officer trait)
Trait: Radiant Detonation Module|Radiant Detonation Module (ground trait)
Trait: Fury/boff|Fury (bridge officer trait)
Trait: Spiritual/boff|Spiritual (bridge officer trait)
Trait: Deprogrammed|Deprogrammed (ground trait)
