Reputation: New Romulus|New Romulus (reputation)
Reputation: Nukara Strikeforce|Nukara Strikeforce (reputation)
Reputation: Task Force Omega|Task Force Omega (reputation)
Reputation: Delta Alliance|Delta Alliance (reputation)
Reputation: 8472 Counter-Command|8472 Counter-Command (reputation)
Reputation: Dyson Joint Command|Dyson Joint Command (reputation)
Reputation: Terran Task Force|Terran Task Force (reputation)
Reputation: Iconian Resistance|Iconian Resistance (reputation)
Reputation: Temporal Defense Initiative|Temporal Defense Initiative (reputation)
Reputation: Competitive Wargames|Competitive Wargames (reputation)
Reputation: Lukari Restoration Initiative|Lukari Restoration Initiative (reputation)
Reputation: Gamma Task Force|Gamma Task Force (reputation)
Reputation: Events|Events (reputation)
Reputation: Discovery Legends|Discovery Legends (reputation)
